Baby_neutral01,Baby_neutral02,Baby_neutral03,Baby_neutral04,Baby_neutral05,Baby_neutral06,Baby_neutral07,Baby_neutral08,Baby_neutral09,Baby_neutral10,Baby_neutral11,Baby_neutral12,Baby_neutral13,Baby_neutral14,Baby_neutral15,Baby_neutral16,Baby_neutral17,Baby_neutral18,Baby_neutral19,Baby_neutral20,Baby_neutral21,Baby_neutral22,Baby_neutral23,Baby_neutral24,Baby_neutral25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,134,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0
0,0,0,135,0,0,47,0,0,0,0,0,0,0,0,144,0,0,0,0,0,126,0,0,0
0,0,0,135,0,0,47,0,0,0,0,0,0,0,0,144,0,0,0,0,0,126,0,0,0
129,0,0,135,0,0,47,0,143,0,0,0,261,0,0,144,0,0,0,0,0,126,0,0,0
129,0,0,135,159,0,47,0,143,0,0,0,261,0,0,144,0,0,0,0,0,126,0,0,0
129,0,0,135,159,0,47,0,143,0,0,0,261,0,136,144,0,0,0,0,0,126,0,0,0
130,0,0,135,159,0,47,0,143,0,0,0,131,0,136,144,0,0,281,0,0,126,0,0,0
130,0,0,135,159,0,47,0,143,0,0,0,131,0,135,144,0,0,281,0,0,126,0,0,0
130,0,0,135,159,0,47,0,143,0,0,0,131,0,134,146,0,46,281,0,0,126,0,0,0
130,0,0,135,159,0,47,0,143,0,137,0,131,0,134,146,0,46,281,0,0,126,0,0,0
130,0,0,135,159,0,47,0,143,0,137,0,131,0,134,146,0,46,141,0,166,126,0,0,0
131,0,0,135,159,0,46,0,143,0,137,0,131,0,134,146,0,46,141,0,166,126,0,0,0
131,0,0,135,159,142,46,0,143,0,137,0,131,0,134,146,0,46,141,0,166,126,0,0,0
131,0,0,135,156,142,46,0,143,0,137,0,131,0,134,146,0,45,141,0,166,126,0,0,0
131,0,0,136,156,142,46,0,143,0,136,0,131,0,134,146,0,45,141,0,166,126,0,0,0
131,0,0,138,156,142,46,0,143,0,136,0,131,0,134,146,0,45,141,0,166,126,0,0,0
131,0,0,139,156,142,46,0,143,0,136,0,131,0,134,147,0,45,141,0,166,126,0,0,0
130,0,142,139,156,142,45,0,144,0,136,0,131,0,134,147,0,45,141,0,166,126,0,0,0
130,0,142,140,156,143,45,0,144,0,136,0,130,0,134,147,0,45,141,0,166,126,0,0,0
130,0,142,140,156,143,45,0,144,0,136,0,130,0,134,147,0,45,141,0,166,126,0,0,0
130,0,142,140,0,143,45,0,144,0,137,0,130,0,134,147,0,45,142,0,0,126,0,0,0
130,0,143,141,0,143,45,0,144,0,136,0,130,0,134,147,0,45,142,0,166,126,0,0,0
130,0,143,141,0,143,45,0,145,0,136,0,130,0,134,147,0,45,142,0,166,126,0,0,0
130,0,143,141,0,143,45,0,145,0,136,0,129,0,134,147,0,45,142,0,166,126,0,0,0
130,0,143,141,156,143,44,0,145,0,136,0,129,0,134,147,0,42,142,0,166,126,0,0,0
