"Names","Frame 1","Frame 2","Frame 3","Frame 4","Frame 5","Frame 6","Frame 7","Frame 8","Frame 9","Frame 10","Frame 11","Frame 12","Frame 13","Frame 14","Frame 15","Frame 16","Frame 17","Frame 18","Frame 19","Frame 20","Frame 21","Frame 22","Frame 23","Frame 24","Frame 25","Frame 26","Frame 27","Frame 28","Frame 29","Frame 30","Frame 31","Frame 32","Frame 33","Frame 34","Frame 35","Frame 36","Frame 37","Frame 38","Frame 39","Frame 40","Frame 41","Frame 42","Frame 43","Frame 44","Frame 45","Frame 46","Frame 47","Frame 48","Frame 49","Frame 50","Frame 51","Frame 52","Frame 53","Frame 54","Frame 55","Frame 56","Frame 57","Frame 58","Frame 59","Frame 60","Frame 61","Frame 62","Frame 63","Frame 64","Frame 65","Frame 66","Frame 67","Frame 68","Frame 69","Frame 70","Frame 71","Frame 72","Frame 73","Frame 74","Frame 75","Frame 76","Frame 77","Frame 78","Frame 79","Frame 80","Frame 81","Frame 82","Frame 83","Frame 84","Frame 85","Frame 86","Frame 87","Frame 88","Frame 89","Frame 90","Frame 91","Frame 92","Frame 93","Frame 94","Frame 95","Frame 96","Frame 97","Frame 98","Frame 99","Frame 100","Frame 101","Frame 102","Frame 103","Frame 104","Frame 105","Frame 106","Frame 107","Frame 108","Frame 109","Frame 110","Frame 111","Frame 112","Frame 113","Frame 114","Frame 115","Frame 116","Frame 117","Frame 118","Frame 119","Frame 120","Frame 121","Frame 122","Frame 123","Frame 124","Frame 125","Frame 126","Frame 127","Frame 128","Frame 129","Frame 130","Frame 131","Frame 132","Frame 133","Frame 134","Frame 135","Frame 136","Frame 137","Frame 138","Frame 139","Frame 140","Frame 141","Frame 142","Frame 143","Frame 144","Frame 145","Frame 146","Frame 147","Frame 148","Frame 149","Frame 150","Frame 151","Frame 152","Frame 153","Frame 154","Frame 155","Frame 156","Frame 157","Frame 158","Frame 159","Frame 160"
"Baby_cry01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,101,101,101,101,102,102,102,0,0,0,0,0,0,0,0,0,0,0,102,102,102,102,0,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,102,102,102,0,102,102,102,102
"Baby_cry02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,0,0,0,46,0,46,46,46,46,46,46,46,46,46,46,46,46,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0,46,0,0,0,0,46,46,0,0,46,46,46,46,46,0,46,46,46,46
"Baby_cry03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,79,79,79,79,79,79,79,79,0,79,0,0,0,0,0,79,79,79,79,79,79,79,79,79,79,0,0,79,79,79,79,79,0,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0,83,83,83,83
"Baby_cry04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Baby_cry05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,61,61,61,0,61,0,0,61,61,61,61,58,58,58,58,58,58,57,57,57,150,150,150,150,150,150,150,150,150,150,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,0,0,0,76,76,76,76,76,76,76,86,86,0,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,102,102,102,101,101,101,101,101,0,101,101,101,101,101,101,101,NA,NA,NA,NA,NA,NA
"Baby_cry06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,61,61,61,0,61,0,0,61,61,61,61,58,58,58,58,58,58,57,57,57,150,150,150,150,150,150,150,150,150,150,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,0,0,0,76,76,76,76,76,76,76,86,86,0,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,102,102,102,101,101,101,101,101,0,101,101,101,101,101,101,101,NA,NA,NA,NA,NA,NA
"Baby_cry07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,NA,NA,NA,NA,NA,NA
"Baby_cry08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,NA,NA,NA,NA,NA,NA
"Baby_cry09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,76,77,77,77,77,77,78,78,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA
"Baby_cry10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,0,0,0,0,0,108,0,0,108,108,108,108,108,108,0,108,108,0,0,0,0,108,108,108,108,0,0,108,108,108,108,108,108,108,108,108,108,108,108,108,0,0,0,108,108,108,108,0,0,108,0,0,0,0,0,0,0,0,0,0,0,108,108,108,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,108,108,NA,NA,NA,NA,NA,NA
