Baby_cry01,Baby_cry02,Baby_cry03,Baby_cry04,Baby_cry05,Baby_cry06,Baby_cry07,Baby_cry08,Baby_cry09,Baby_cry10,Baby_cry11,Baby_cry12,Baby_cry13,Baby_cry14,Baby_cry15,Baby_cry16,Baby_cry17,Baby_cry18,Baby_cry19,Baby_cry20,Baby_cry21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0,93,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0,93,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,67,0,0,0,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,67,0,0,0,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,0,0,126,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,0,42,126,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,0,42,126,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,0,42,126,93,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,0,42,126,93,0,102,0,0,0,168
0,0,0,0,0,0,0,0,0,0,67,0,42,0,93,0,101,0,0,0,168
0,0,0,0,0,0,0,0,0,0,0,119,42,126,93,0,101,0,0,0,168
0,0,0,0,0,0,0,0,0,0,0,119,42,126,93,0,101,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,121,42,126,93,0,101,0,0,0,168
0,0,0,0,0,0,0,0,0,0,68,121,42,126,93,0,101,100,0,127,168
0,0,0,0,0,0,0,0,75,0,67,121,42,126,93,0,101,100,0,127,168
0,0,0,0,60,60,0,0,75,0,67,60,41,125,93,0,101,100,0,127,168
0,0,0,0,61,61,0,0,75,0,67,61,41,125,93,0,101,100,0,127,168
0,0,0,0,61,61,0,0,75,0,66,60,41,125,94,0,101,100,0,127,168
