Baby_laugh01,Baby_laugh02,Baby_laugh03,Baby_laugh04,Baby_laugh05,Baby_laugh06,Baby_laugh07,Baby_laugh08,Baby_laugh09,Baby_laugh10,Baby_laugh11,Baby_laugh12,Baby_laugh13,Baby_laugh14,Baby_laugh15,Baby_laugh16,Baby_laugh17,Baby_laugh18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,67,67,0,0,0,0,0,131,48,0,0,0,0,0,0
140,0,0,66,66,0,0,0,0,0,131,49,0,0,0,0,0,0
140,0,0,66,66,0,0,0,0,0,131,49,0,0,0,0,0,0
140,0,0,66,66,0,0,0,0,0,131,49,0,0,0,0,0,0
140,0,0,66,66,0,0,0,0,0,131,49,0,0,0,0,0,0
140,0,0,66,66,0,0,0,0,0,131,49,0,0,0,113,0,0
140,0,125,66,66,0,0,0,0,0,131,49,0,0,0,0,0,0
140,0,125,65,65,0,0,0,0,0,132,49,0,0,0,113,0,0
140,0,126,65,65,0,0,0,61,0,132,49,0,0,0,0,0,0
140,0,126,65,65,0,0,0,61,94,132,49,0,0,0,0,0,0
140,0,126,65,65,0,61,0,61,94,132,49,0,0,0,0,0,0
140,0,126,65,65,0,61,0,61,95,132,49,0,0,0,113,0,0
140,0,126,65,65,0,61,0,61,95,133,50,0,0,0,113,0,0
140,0,126,65,65,0,61,0,61,95,133,50,0,0,0,113,0,0
140,136,0,65,65,0,61,0,61,95,133,50,0,0,0,112,0,0
140,136,0,65,65,0,61,0,61,95,133,50,0,0,0,113,0,0
