T,File.Name,Min,1Q,Median,Mean,3Q,Max,Length
1,Adultfemale_cry01.csv,149.3,553.3,1840,1424,1898,3602,155
2,Adultfemale_cry01.csv,246.3,995.7,1890,1921,3283,4165,60
3,Adultfemale_cry02.csv,268.7,632.5,1029,1261,1648,3228,38
4,Adultfemale_cry02.csv,189.2,432.5,1733,1182,1796,3684,114
5,Adultfemale_cry02.csv,443,3709,3799,3420,4051,4489,20
6,Adultfemale_cry02.csv,116.4,116.4,116.4,116.4,116.4,116.4,1
7,Adultfemale_cry02.csv,536.8,639.6,1762,1761,1910,3783,43
8,Adultfemale_cry02.csv,450.3,451.4,452.6,452.6,453.8,454.9,2
9,Adultfemale_cry03.csv,247.2,485.3,499.8,719.2,936.6,4101,75
10,Adultfemale_cry03.csv,778.3,778.3,778.3,778.3,778.3,778.3,1
11,Adultfemale_cry03.csv,158,554.9,600.5,746.8,712,4167,89
12,Adultfemale_cry03.csv,356.1,460.1,523.4,492.9,556.2,568.5,4
13,Adultfemale_cry03.csv,234.3,234.3,234.3,234.3,234.3,234.3,1
14,Adultfemale_cry04.csv,248.5,388.3,438.6,659.7,539.2,2007,111
15,Adultfemale_cry04.csv,94.49,180,236.6,210.8,258.3,275.3,10
16,Adultfemale_cry04.csv,210.1,256.3,256.7,247.6,257.3,257.5,5
17,Adultfemale_cry04.csv,252.8,253.3,253.8,253.8,254.3,254.8,2
18,Adultfemale_cry04.csv,264.4,264.4,264.4,264.4,264.4,264.4,1
19,Adultfemale_cry04.csv,266.3,266.3,266.3,266.3,266.3,266.3,1
20,Adultfemale_cry04.csv,215.7,215.7,215.7,215.7,215.7,215.7,1
21,Adultfemale_cry04.csv,268.9,269.6,270.3,270.3,270.9,271.6,2
22,Adultfemale_cry04.csv,266.7,281,297.4,293,298.6,321.9,6
23,Adultfemale_cry04.csv,275.8,276.1,276.4,276.4,276.7,277,2
24,Adultfemale_cry04.csv,224.4,226.8,229.2,228.1,229.9,230.7,3
25,Adultfemale_cry04.csv,116.2,236.3,327,282.4,365.8,366.6,5
26,Adultfemale_cry04.csv,267.9,267.9,267.9,267.9,267.9,267.9,1
