"","File.Name","Sound.Source","Min","X1Q","Median","Mean","X3Q","Max","Length"
"1","Adultfemale_cry01.512.csv","Adultfemale_cry",149.3,504.3,1848,1419,1897,3596,77
"2","Adultfemale_cry01.512.csv","Adultfemale_cry",400.6,1110,1885,1913,2906,4165,30
"3","Adultfemale_cry01.csv","Adultfemale_cry",149.3,553.3,1840,1424,1898,3602,155
"4","Adultfemale_cry01.csv","Adultfemale_cry",246.3,995.7,1890,1921,3283,4165,60
"5","Adultfemale_cry01.spec.csv","Adultfemale_cry",149.3,571.1,1844,1435,1899,3606,309
"6","Adultfemale_cry01.spec.csv","Adultfemale_cry",1805,1805,1805,1805,1805,1805,1
"7","Adultfemale_cry01.spec.csv","Adultfemale_cry",246.3,910.6,1889,1927,3277,4362,119
"8","Adultfemale_cry01.spec.csv","Adultfemale_cry",470.3,470.3,470.3,470.3,470.3,470.3,1
"9","Adultfemale_cry02.512.csv","Adultfemale_cry",189.2,471.8,1366,1255,1791,3684,76
"10","Adultfemale_cry02.512.csv","Adultfemale_cry",502.1,3735,3796,3575,3971,4489,10
"11","Adultfemale_cry02.512.csv","Adultfemale_cry",116.4,116.4,116.4,116.4,116.4,116.4,1
"12","Adultfemale_cry02.512.csv","Adultfemale_cry",450.3,606,1753,1626,1844,3783,23
"13","Adultfemale_cry02.csv","Adultfemale_cry",268.7,632.5,1029,1261,1648,3228,38
"14","Adultfemale_cry02.csv","Adultfemale_cry",189.2,432.5,1733,1182,1796,3684,114
"15","Adultfemale_cry02.csv","Adultfemale_cry",443,3709,3799,3420,4051,4489,20
"16","Adultfemale_cry02.csv","Adultfemale_cry",116.4,116.4,116.4,116.4,116.4,116.4,1
"17","Adultfemale_cry02.csv","Adultfemale_cry",536.8,639.6,1762,1761,1910,3783,43
"18","Adultfemale_cry02.csv","Adultfemale_cry",450.3,451.4,452.6,452.6,453.8,454.9,2
"19","Adultfemale_cry02.spec.csv","Adultfemale_cry",267.8,631,1020,1209,1635,3234,75
"20","Adultfemale_cry02.spec.csv","Adultfemale_cry",456.5,762.1,1068,1068,1373,1679,2
"21","Adultfemale_cry02.spec.csv","Adultfemale_cry",189,430.9,1731,1171,1795,3684,225
"22","Adultfemale_cry02.spec.csv","Adultfemale_cry",443,3718,3800,3419,4098,4489,39
"23","Adultfemale_cry02.spec.csv","Adultfemale_cry",116.4,116.4,116.4,116.4,116.4,116.4,2
"24","Adultfemale_cry02.spec.csv","Adultfemale_cry",300.5,654.9,1766,1759,1891,3880,85
"25","Adultfemale_cry02.spec.csv","Adultfemale_cry",452.8,453.3,453.9,453.9,454.4,454.9,2
"26","Adultfemale_cry03.512.csv","Adultfemale_cry",323.6,485.4,678.7,701.3,950.5,1788,37
"27","Adultfemale_cry03.512.csv","Adultfemale_cry",158,554.9,604.2,787.7,735,4167,45
"28","Adultfemale_cry03.512.csv","Adultfemale_cry",552.1,552.1,552.1,552.1,552.1,552.1,1
"29","Adultfemale_cry03.512.csv","Adultfemale_cry",234.3,234.3,234.3,234.3,234.3,234.3,1
"30","Adultfemale_cry03.csv","Adultfemale_cry",247.2,485.3,499.8,719.2,936.6,4101,75
"31","Adultfemale_cry03.csv","Adultfemale_cry",778.3,778.3,778.3,778.3,778.3,778.3,1
"32","Adultfemale_cry03.csv","Adultfemale_cry",158,554.9,600.5,746.8,712,4167,89
"33","Adultfemale_cry03.csv","Adultfemale_cry",356.1,460.1,523.4,492.9,556.2,568.5,4
"34","Adultfemale_cry03.csv","Adultfemale_cry",234.3,234.3,234.3,234.3,234.3,234.3,1
"35","Adultfemale_cry03.spec.csv","Adultfemale_cry",247.2,485.4,499.8,721.3,940.2,4101,149
"36","Adultfemale_cry03.spec.csv","Adultfemale_cry",778.3,779.4,780.6,780.6,781.7,782.8,2
"37","Adultfemale_cry03.spec.csv","Adultfemale_cry",984.9,988.3,991.8,991.6,994.9,998.1,3
"38","Adultfemale_cry03.spec.csv","Adultfemale_cry",158,552.9,599.8,744.9,705.1,4181,173
"39","Adultfemale_cry03.spec.csv","Adultfemale_cry",356.1,448,516.3,489.2,548.5,562.2,6
"40","Adultfemale_cry03.spec.csv","Adultfemale_cry",242.9,242.9,242.9,242.9,242.9,242.9,1
"41","Adultfemale_cry03.spec.csv","Adultfemale_cry",210,216.1,222.2,222.2,228.3,234.3,2
"42","Adultfemale_cry04.512.csv","Adultfemale_cry",98.77,313.3,421.5,591.9,510.7,1997,64
"43","Adultfemale_cry04.512.csv","Adultfemale_cry",266.2,266.2,266.2,266.2,266.2,266.2,1
"44","Adultfemale_cry04.512.csv","Adultfemale_cry",245.6,271.6,275.7,282.5,297.8,321.9,5
"45","Adultfemale_cry04.512.csv","Adultfemale_cry",224.4,232.1,256.7,276.9,314.5,365.8,6
"46","Adultfemale_cry04.512.csv","Adultfemale_cry",252.8,255.1,285.8,277.2,286.7,305.8,5
"47","Adultfemale_cry04.512.csv","Adultfemale_cry",235.4,247.6,259.8,257.7,268.8,277.8,3
"48","Adultfemale_cry04.512.csv","Adultfemale_cry",236,242,248,244.8,249.2,250.3,3
"49","Adultfemale_cry04.512.csv","Adultfemale_cry",233.7,253.4,258.1,1286,2152,4047,11
"50","Adultfemale_cry04.512.csv","Adultfemale_cry",127,178.3,229.6,204.9,243.8,258,3
"51","Adultfemale_cry04.512.csv","Adultfemale_cry",122.1,257.7,404.4,400.1,578.1,644,14
"52","Adultfemale_cry04.csv","Adultfemale_cry",248.5,388.3,438.6,659.7,539.2,2007,111
"53","Adultfemale_cry04.csv","Adultfemale_cry",94.49,180,236.6,210.8,258.3,275.3,10
"54","Adultfemale_cry04.csv","Adultfemale_cry",210.1,256.3,256.7,247.6,257.3,257.5,5
"55","Adultfemale_cry04.csv","Adultfemale_cry",252.8,253.3,253.8,253.8,254.3,254.8,2
"56","Adultfemale_cry04.csv","Adultfemale_cry",264.4,264.4,264.4,264.4,264.4,264.4,1
"57","Adultfemale_cry04.csv","Adultfemale_cry",266.3,266.3,266.3,266.3,266.3,266.3,1
"58","Adultfemale_cry04.csv","Adultfemale_cry",215.7,215.7,215.7,215.7,215.7,215.7,1
"59","Adultfemale_cry04.csv","Adultfemale_cry",268.9,269.6,270.3,270.3,270.9,271.6,2
"60","Adultfemale_cry04.csv","Adultfemale_cry",266.7,281,297.4,293,298.6,321.9,6
"61","Adultfemale_cry04.csv","Adultfemale_cry",275.8,276.1,276.4,276.4,276.7,277,2
"62","Adultfemale_cry04.csv","Adultfemale_cry",224.4,226.8,229.2,228.1,229.9,230.7,3
"63","Adultfemale_cry04.csv","Adultfemale_cry",116.2,236.3,327,282.4,365.8,366.6,5
"64","Adultfemale_cry04.csv","Adultfemale_cry",267.9,267.9,267.9,267.9,267.9,267.9,1
"65","Adultfemale_cry04.csv","Adultfemale_cry",254.5,255.1,285.8,276.3,286.7,305.8,9
"66","Adultfemale_cry04.csv","Adultfemale_cry",226.8,226.9,227,227,227,227.1,2
"67","Adultfemale_cry04.csv","Adultfemale_cry",269.6,271.6,273.7,273.7,275.7,277.8,2
"68","Adultfemale_cry04.csv","Adultfemale_cry",235.4,235.8,236.2,243.8,248,259.8,3
"69","Adultfemale_cry04.csv","Adultfemale_cry",227.9,232.2,247.9,241.1,248.6,250.3,7
"70","Adultfemale_cry04.csv","Adultfemale_cry",246.8,246.8,246.8,246.8,246.8,246.8,1
"71","Adultfemale_cry04.csv","Adultfemale_cry",259.8,259.8,259.8,259.8,259.8,259.8,1
"72","Adultfemale_cry04.csv","Adultfemale_cry",258.4,258.4,258.4,258.4,258.4,258.4,1
"73","Adultfemale_cry04.csv","Adultfemale_cry",276.3,276.3,276.3,276.3,276.3,276.3,1
"74","Adultfemale_cry04.csv","Adultfemale_cry",240,242.7,257.9,251.5,258.7,260,7
"75","Adultfemale_cry04.csv","Adultfemale_cry",189.9,251.5,256,1600,4044,4047,14
"76","Adultfemale_cry04.csv","Adultfemale_cry",127,127.1,229.6,194.3,229.7,258,5
"77","Adultfemale_cry04.csv","Adultfemale_cry",137.3,235.4,268.1,235.5,268.2,268.4,4
"78","Adultfemale_cry04.csv","Adultfemale_cry",214.5,214.7,214.8,214.8,215,215.2,2
"79","Adultfemale_cry04.csv","Adultfemale_cry",122.1,388.7,430.6,460.7,628.4,650.6,19
"80","Adultfemale_cry04.spec.csv","Adultfemale_cry",269,408.7,476.7,698.7,549.4,2007,204
"81","Adultfemale_cry04.spec.csv","Adultfemale_cry",135.2,257.2,292,299.2,326,407.3,18
"82","Adultfemale_cry04.spec.csv","Adultfemale_cry",98.68,245.3,263.6,239.3,265.6,266.3,8
"83","Adultfemale_cry04.spec.csv","Adultfemale_cry",229.9,230.8,231.7,231.4,232.1,232.6,3
"84","Adultfemale_cry04.spec.csv","Adultfemale_cry",241.5,241.6,241.6,241.6,241.6,241.6,2
"85","Adultfemale_cry04.spec.csv","Adultfemale_cry",94.49,124.2,153.8,175,215.3,276.8,3
"86","Adultfemale_cry04.spec.csv","Adultfemale_cry",196.6,200,203.4,203.4,206.7,210.1,2
"87","Adultfemale_cry04.spec.csv","Adultfemale_cry",257.3,257.4,257.5,257.4,257.5,257.5,3
"88","Adultfemale_cry04.spec.csv","Adultfemale_cry",256.4,256.5,256.6,256.6,256.6,256.7,2
"89","Adultfemale_cry04.spec.csv","Adultfemale_cry",212.6,242.8,253.2,243.4,253.9,254.8,4
"90","Adultfemale_cry04.spec.csv","Adultfemale_cry",212.9,212.9,212.9,212.9,212.9,212.9,1
"91","Adultfemale_cry04.spec.csv","Adultfemale_cry",261.1,261.4,261.7,262.4,263.1,264.4,3
"92","Adultfemale_cry04.spec.csv","Adultfemale_cry",266.4,266.4,266.4,266.4,266.4,266.4,1
"93","Adultfemale_cry04.spec.csv","Adultfemale_cry",215.9,215.9,215.9,215.9,215.9,215.9,1
"94","Adultfemale_cry04.spec.csv","Adultfemale_cry",268.2,268.3,268.4,268.4,268.5,268.5,2
"95","Adultfemale_cry04.spec.csv","Adultfemale_cry",269.7,270.2,270.6,270.6,271.1,271.6,2
"96","Adultfemale_cry04.spec.csv","Adultfemale_cry",122.5,275.6,297.4,273.5,298.8,321.9,8
"97","Adultfemale_cry04.spec.csv","Adultfemale_cry",266.7,266.9,267,277.2,282.4,297.8,3
"98","Adultfemale_cry04.spec.csv","Adultfemale_cry",267.1,267.2,275.8,272.7,276.5,277,5
"99","Adultfemale_cry04.spec.csv","Adultfemale_cry",223.5,223.9,226.6,226.5,229.1,229.5,6
"100","Adultfemale_cry04.spec.csv","Adultfemale_cry",236,236,236.1,236.1,236.2,236.3,3
"101","Adultfemale_cry04.spec.csv","Adultfemale_cry",116.2,288.5,326.5,296.6,365.9,366.6,8
"102","Adultfemale_cry04.spec.csv","Adultfemale_cry",267,267,267,267,267,267,1
"103","Adultfemale_cry04.spec.csv","Adultfemale_cry",265.6,265.7,265.9,273.8,266.2,305.8,5
"104","Adultfemale_cry04.spec.csv","Adultfemale_cry",285.8,286,286.2,286.3,286.6,287,7
"105","Adultfemale_cry04.spec.csv","Adultfemale_cry",229.7,242.1,254.5,246.4,254.8,255.1,3
"106","Adultfemale_cry04.spec.csv","Adultfemale_cry",227,227.1,227.1,227.1,227.1,227.1,2
"107","Adultfemale_cry04.spec.csv","Adultfemale_cry",269.4,269.5,272.8,273.2,276.5,277.8,4
"108","Adultfemale_cry04.spec.csv","Adultfemale_cry",229.5,235.6,236.1,243,253.9,261,6
"109","Adultfemale_cry04.spec.csv","Adultfemale_cry",228.8,228.8,228.8,228.8,228.8,228.8,1
"110","Adultfemale_cry04.spec.csv","Adultfemale_cry",227.9,236,247.9,242.1,248.6,250.3,12
"111","Adultfemale_cry04.spec.csv","Adultfemale_cry",234.5,234.5,234.5,234.5,234.5,234.5,1
"112","Adultfemale_cry04.spec.csv","Adultfemale_cry",228.5,228.5,228.5,228.5,228.5,228.5,1
"113","Adultfemale_cry04.spec.csv","Adultfemale_cry",258.7,258.7,258.7,258.7,258.7,258.7,1
"114","Adultfemale_cry04.spec.csv","Adultfemale_cry",257.5,257.5,257.5,257.5,257.5,257.5,1
"115","Adultfemale_cry04.spec.csv","Adultfemale_cry",276.3,304.9,333.5,314.4,333.5,333.5,3
"116","Adultfemale_cry04.spec.csv","Adultfemale_cry",239.9,240.1,240.5,247.8,257.8,258.2,7
"117","Adultfemale_cry04.spec.csv","Adultfemale_cry",244.7,244.7,244.8,250.8,259.7,260,5
"118","Adultfemale_cry04.spec.csv","Adultfemale_cry",129.3,253.4,4043,2254,4044,4047,17
"119","Adultfemale_cry04.spec.csv","Adultfemale_cry",251.6,252.6,256.2,256.5,260,262,4
"120","Adultfemale_cry04.spec.csv","Adultfemale_cry",180.6,189.9,190.3,205.8,233.7,234.5,5
"121","Adultfemale_cry04.spec.csv","Adultfemale_cry",127,127.2,229.6,196.7,229.7,282.4,10
"122","Adultfemale_cry04.spec.csv","Adultfemale_cry",137.3,234.4,268,235.3,268.2,268.4,8
"123","Adultfemale_cry04.spec.csv","Adultfemale_cry",213.3,214.1,214.7,214.5,215.1,215.4,6
"124","Adultfemale_cry04.spec.csv","Adultfemale_cry",122,385.7,432,453.4,626.6,652.3,38
"125","Adultfemale_cry04.spec.csv","Adultfemale_cry",644.3,644.3,644.3,644.3,644.3,644.3,1
"126","Adultfemale_cry05.512.csv","Adultfemale_cry",213.5,389.6,422.2,413.8,437.9,508,65
"127","Adultfemale_cry05.512.csv","Adultfemale_cry",414.7,416.4,418.1,418.6,420.5,422.8,3
"128","Adultfemale_cry05.512.csv","Adultfemale_cry",115.2,321.4,372.9,594.3,798,1654,18
"129","Adultfemale_cry05.csv","Adultfemale_cry",213.5,391.3,422.5,415.3,438.1,508,130
"130","Adultfemale_cry05.csv","Adultfemale_cry",417,418.1,420.3,419.8,420.9,422.8,5
"131","Adultfemale_cry05.csv","Adultfemale_cry",131.3,131.3,131.3,131.3,131.3,131.3,1
"132","Adultfemale_cry05.csv","Adultfemale_cry",93.85,326.8,398.7,659.7,800.7,1655,35
"133","Adultfemale_cry05.spec.csv","Adultfemale_cry",213.4,390.6,422.6,415.5,438.8,508.5,261
"134","Adultfemale_cry05.spec.csv","Adultfemale_cry",416,417.7,419,419.5,421.5,422.8,11
"135","Adultfemale_cry05.spec.csv","Adultfemale_cry",131.3,131.3,131.3,131.3,131.3,131.3,2
"136","Adultfemale_cry05.spec.csv","Adultfemale_cry",93.85,321.7,397.8,640.6,800.1,1655,67
"137","Adultfemale_cry05.spec.csv","Adultfemale_cry",1648,1648,1648,1648,1648,1648,1
"138","Adultfemale_cry05.spec.csv","Adultfemale_cry",1604,1604,1604,1604,1604,1604,1
"139","Adultfemale_cry05.spec.csv","Adultfemale_cry",1580,1580,1580,1580,1580,1580,1
"140","Adultfemale_cry06.512.csv","Adultfemale_cry",342.6,354.3,371.2,378.3,399.3,429,31
"141","Adultfemale_cry06.512.csv","Adultfemale_cry",247,397.2,444.7,452,488.8,686.6,105
"142","Adultfemale_cry06.512.csv","Adultfemale_cry",436,436,436,436,436,436,1
"143","Adultfemale_cry06.csv","Adultfemale_cry",342.6,354.4,372.6,379.6,401.5,430,61
"144","Adultfemale_cry06.csv","Adultfemale_cry",277.8,360.2,372.4,439.5,556,686.6,61
"145","Adultfemale_cry06.csv","Adultfemale_cry",656.2,656.2,656.2,656.2,656.2,656.2,1
"146","Adultfemale_cry06.csv","Adultfemale_cry",246,435.4,450.2,452.2,487.2,676.6,145
"147","Adultfemale_cry06.csv","Adultfemale_cry",433.6,434.2,434.8,434.8,435.4,436,2
"148","Adultfemale_cry06.spec.csv","Adultfemale_cry",342.5,354.4,372.6,379.5,401.5,430,121
"149","Adultfemale_cry06.spec.csv","Adultfemale_cry",343.7,343.7,343.7,343.7,343.7,343.7,1
"150","Adultfemale_cry06.spec.csv","Adultfemale_cry",342,358.5,363.2,363.6,372.8,376.6,69
"151","Adultfemale_cry06.spec.csv","Adultfemale_cry",277.7,457.6,558.8,532.9,644.9,686.6,50
"152","Adultfemale_cry06.spec.csv","Adultfemale_cry",290.5,380.4,470.3,470.3,560.2,650.1,2
"153","Adultfemale_cry06.spec.csv","Adultfemale_cry",652.8,652.8,652.8,652.8,652.8,652.8,1
"154","Adultfemale_cry06.spec.csv","Adultfemale_cry",209.8,435.5,450.6,453,488,688,290
"155","Adultfemale_cry06.spec.csv","Adultfemale_cry",433.6,434.2,434.8,434.8,435.5,436.1,2
"156","Adultfemale_cry07.512.csv","Adultfemale_cry",245.2,293.5,334.3,798.7,339.8,3863,48
"157","Adultfemale_cry07.512.csv","Adultfemale_cry",186.6,275.2,362.3,484.4,442.9,1613,81
"158","Adultfemale_cry07.csv","Adultfemale_cry",131.4,293.4,334.4,766.9,339.7,3884,95
"159","Adultfemale_cry07.csv","Adultfemale_cry",122.8,275.1,361.3,485.3,452.7,1613,160
"160","Adultfemale_cry07.csv","Adultfemale_cry",292,292,292,292,292,292,1
"161","Adultfemale_cry07.spec.csv","Adultfemale_cry",131.4,292.4,333.6,720.1,339.3,3864,186
"162","Adultfemale_cry07.spec.csv","Adultfemale_cry",297.3,2952,3850,2969,3867,3881,4
"163","Adultfemale_cry07.spec.csv","Adultfemale_cry",122.8,274.2,361,494.6,452.5,1616,320
"164","Adultfemale_cry07.spec.csv","Adultfemale_cry",287.8,288.1,288.3,288.3,288.6,288.9,2
"165","Adultfemale_cry08.512.csv","Adultfemale_cry",263,287.6,312.8,323.7,361.7,399.1,56
"166","Adultfemale_cry08.512.csv","Adultfemale_cry",281.9,284.9,298.9,298.5,312.6,314.6,4
"167","Adultfemale_cry08.512.csv","Adultfemale_cry",280.5,282.9,285.2,291.4,296.8,308.4,3
"168","Adultfemale_cry08.512.csv","Adultfemale_cry",152.4,254.8,333.4,467.9,462.9,1631,55
"169","Adultfemale_cry08.csv","Adultfemale_cry",263,292.5,314.4,325.5,362.3,399.6,106
"170","Adultfemale_cry08.csv","Adultfemale_cry",269,273.7,279.9,281.4,292,292.6,5
"171","Adultfemale_cry08.csv","Adultfemale_cry",277.6,284.9,298.7,298.4,312.6,317.8,8
"172","Adultfemale_cry08.csv","Adultfemale_cry",273.3,275.1,276.9,276.9,278.7,280.5,2
"173","Adultfemale_cry08.csv","Adultfemale_cry",288.7,293.6,298.5,298.5,303.5,308.4,2
"174","Adultfemale_cry08.csv","Adultfemale_cry",308.6,308.6,308.6,308.6,308.6,308.6,1
"175","Adultfemale_cry08.csv","Adultfemale_cry",152.4,255.2,335.2,470.2,468,1631,110
"176","Adultfemale_cry08.spec.csv","Adultfemale_cry",262.8,293.2,313.8,325.8,362.8,400,212
"177","Adultfemale_cry08.spec.csv","Adultfemale_cry",273.7,273.9,286.3,283.6,292.3,292.6,7
"178","Adultfemale_cry08.spec.csv","Adultfemale_cry",270.4,270.4,270.4,270.4,270.4,270.4,1
"179","Adultfemale_cry08.spec.csv","Adultfemale_cry",275.9,285.7,293.6,297.7,315.3,317.8,8
"180","Adultfemale_cry08.spec.csv","Adultfemale_cry",285.9,294,309.6,302.7,311.9,312.2,5
"181","Adultfemale_cry08.spec.csv","Adultfemale_cry",272.4,274.3,278.9,278.4,282,284.3,6
"182","Adultfemale_cry08.spec.csv","Adultfemale_cry",287.2,287.6,287.9,287.9,288.3,288.7,2
"183","Adultfemale_cry08.spec.csv","Adultfemale_cry",308.4,308.4,308.4,308.4,308.4,308.4,1
"184","Adultfemale_cry08.spec.csv","Adultfemale_cry",307.4,307.4,307.4,307.4,307.4,307.4,1
"185","Adultfemale_cry08.spec.csv","Adultfemale_cry",280.3,280.3,280.3,280.3,280.3,280.3,1
"186","Adultfemale_cry08.spec.csv","Adultfemale_cry",152.1,255.8,336.4,472.6,468.9,1635,221
"187","Adultfemale_cry09.512.csv","Adultfemale_cry",214.2,399.9,422.6,417.8,439.1,508.2,65
"188","Adultfemale_cry09.512.csv","Adultfemale_cry",419.2,420.1,421,421,422,422.9,2
"189","Adultfemale_cry09.512.csv","Adultfemale_cry",93.58,317.4,399.4,668.6,950.5,1546,16
"190","Adultfemale_cry09.512.csv","Adultfemale_cry",752.4,752.4,752.4,752.4,752.4,752.4,1
"191","Adultfemale_cry09.csv","Adultfemale_cry",213.8,401.6,424,417.9,439,508.2,130
"192","Adultfemale_cry09.csv","Adultfemale_cry",416.9,418,419.9,419.8,421.4,422.9,6
"193","Adultfemale_cry09.csv","Adultfemale_cry",363.4,363.4,363.4,363.4,363.4,363.4,1
"194","Adultfemale_cry09.csv","Adultfemale_cry",93.58,321.3,397,676.5,1263,1546,30
"195","Adultfemale_cry09.csv","Adultfemale_cry",420.4,420.4,420.4,420.4,420.4,420.4,1
"196","Adultfemale_cry09.csv","Adultfemale_cry",225.1,356.9,488.7,488.7,620.6,752.4,2
"197","Adultfemale_cry09.spec.csv","Adultfemale_cry",213.8,399.6,423.8,416.3,439.8,508.2,259
"198","Adultfemale_cry09.spec.csv","Adultfemale_cry",416.9,419.3,420.1,420.4,422,422.9,10
"199","Adultfemale_cry09.spec.csv","Adultfemale_cry",363.4,363.4,363.4,363.4,363.4,363.4,1
"200","Adultfemale_cry09.spec.csv","Adultfemale_cry",115.1,332.4,400.7,741.6,1420,1546,55
"201","Adultfemale_cry09.spec.csv","Adultfemale_cry",93.58,93.65,93.72,166,202.2,310.6,3
"202","Adultfemale_cry09.spec.csv","Adultfemale_cry",401.6,406.3,411,411,415.7,420.4,2
"203","Adultfemale_cry09.spec.csv","Adultfemale_cry",225.1,356.2,487.3,487.3,618.4,749.5,2
"204","Adultfemale_cry10.512.csv","Adultfemale_cry",126.1,265.2,321.6,325.5,364.1,501.7,76
"205","Adultfemale_cry10.512.csv","Adultfemale_cry",258.4,260.9,262.3,270.9,269.9,302.9,5
"206","Adultfemale_cry10.512.csv","Adultfemale_cry",152.7,3012,4050,3495,4486,5189,23
"207","Adultfemale_cry10.csv","Adultfemale_cry",99.35,264.2,321.3,322.1,363,501.7,152
"208","Adultfemale_cry10.csv","Adultfemale_cry",260,261.3,263.2,270,272.1,302.9,8
"209","Adultfemale_cry10.csv","Adultfemale_cry",126.5,3952,4053,3642,4583,5209,44
"210","Adultfemale_cry10.spec.csv","Adultfemale_cry",99.35,264.3,321.5,323.2,363.9,503.3,303
"211","Adultfemale_cry10.spec.csv","Adultfemale_cry",260,261.3,263.6,272.1,275.2,323.1,16
"212","Adultfemale_cry10.spec.csv","Adultfemale_cry",126.5,3942,4040,3545,4556,5209,89
"213","Adultfemale_cry11.512.csv","Adultfemale_cry",111.4,307.9,361.6,1274,3314,3656,81
"214","Adultfemale_cry11.512.csv","Adultfemale_cry",99.76,241.1,364.6,639.6,515,3440,53
"215","Adultfemale_cry11.512.csv","Adultfemale_cry",116.8,116.8,116.8,116.8,116.8,116.8,1
"216","Adultfemale_cry11.csv","Adultfemale_cry",111.4,303.7,351.3,1287,3364,3656,162
"217","Adultfemale_cry11.csv","Adultfemale_cry",99.76,238.2,364.4,666.4,529.8,3505,107
"218","Adultfemale_cry11.csv","Adultfemale_cry",116.8,116.8,116.8,116.8,116.8,116.8,1
"219","Adultfemale_cry11.spec.csv","Adultfemale_cry",111.4,306.6,348.8,1279,3354,3667,326
"220","Adultfemale_cry11.spec.csv","Adultfemale_cry",109.1,302.2,364.1,653.8,423.8,3505,50
"221","Adultfemale_cry11.spec.csv","Adultfemale_cry",99.74,234.8,361.7,673.7,882.3,3432,162
"222","Adultfemale_cry11.spec.csv","Adultfemale_cry",116.8,125.8,134.8,134.8,143.8,152.8,2
"223","Adultfemale_cry12.512.csv","Adultfemale_cry",129.2,373.9,418.2,1701,3568,3711,70
"224","Adultfemale_cry12.512.csv","Adultfemale_cry",114.1,369.8,927.1,1609,3483,3701,41
"225","Adultfemale_cry12.512.csv","Adultfemale_cry",367.9,367.9,367.9,367.9,367.9,367.9,1
"226","Adultfemale_cry12.csv","Adultfemale_cry",129.2,375.2,415.2,1713,3572,3715,139
